patient_id,patient_name,gender,birth_date,age,phone,emergency_contact,emergency_name,id_card,home_address,blood_type,allergy_info,medical_history,diagnosis,doctor_id,doctor_name,department,admission_date,discharge_date,treatment_days,total_cost,insurance_type,insurance_number,prescription_count,lab_test_count,blood_pressure_high,blood_pressure_low,heart_rate,body_temperature,weight_kg,height_cm,surgery_history,family_history,smoking_status,drinking_status
P00000001,患者1,男,1988-08-09,14,13911347729,13866430794,紧急联系人1,615147199302129161,地址1号,AB,青霉素,"高血压2年, 糖尿病1年",高血压,D0028,医生1,儿科,2025-04-08,,21,4788.58,城乡居民医保,INS24299240,3,14,176,78,74,38.5,63.2,170,,家族有癌症史,偶尔吸烟,偶尔饮酒
P00000002,患者2,男,2017-02-10,41,13961497942,13812372014,紧急联系人2,469951199302145773,地址2号,B,无,无重大病史,糖尿病,D0047,医生2,妇产科,2025-12-10,2026-03-12,15,24139.0,商业保险,INS75304264,5,40,162,67,107,37.6,48.0,177,剖腹产(2020),,偶尔吸烟,不饮酒
P00000003,患者3,男,2008-04-11,51,13941585396,13891405449,紧急联系人3,623155195704103091,地址3号,A,无,心脏病史,肺炎,D0012,医生3,儿科,2025-11-17,,22,23036.27,自费,INS90288388,19,0,136,75,99,36.6,67.6,189,骨折手术(2019),,不吸烟,不饮酒
P00000004,患者4,女,1974-12-02,36,13997497834,13850046313,紧急联系人4,598909200610086992,地址4号,O,,过敏性鼻炎,胃炎,D0008,医生4,外科,2025-05-04,2026-03-02,20,32637.3,商业保险,INS26533464,13,45,108,76,63,36.6,73.5,179,剖腹产(2020),母亲有糖尿病,已戒烟,偶尔饮酒
P00000005,患者5,女,1952-10-11,36,13935727547,13831261677,紧急联系人5,443408200604105522,地址5号,A,,胆结石手术史,腰椎间盘突出,D0023,医生5,外科,2025-04-21,2026-03-10,30,7612.07,自费,INS53577114,8,44,115,89,74,37.0,64.8,151,剖腹产(2020),母亲有糖尿病,已戒烟,经常饮酒
P00000006,患者6,女,1974-10-26,62,13986001012,13833542929,紧急联系人6,615034199508248175,地址6号,O,无,,,D0015,医生6,儿科,2025-06-11,,26,6447.35,城乡居民医保,INS72512047,14,14,177,96,70,36.7,90.0,156,骨折手术(2019),家族有癌症史,不吸烟,偶尔饮酒
P00000007,患者7,男,1962-09-05,39,13999845461,13854641996,紧急联系人7,530167197304124091,地址7号,A,青霉素,,,D0032,医生7,骨科,2026-01-30,2026-03-18,3,28604.21,商业保险,INS11094858,4,49,134,85,103,38.0,46.8,182,骨折手术(2019),,偶尔吸烟,偶尔饮酒
P00000008,患者8,女,1947-08-23,73,13943972800,13814627152,紧急联系人8,218283198603118664,地址8号,O,,,,D0029,医生8,儿科,2026-01-21,,8,31896.31,城镇职工医保,,1,38,127,62,75,37.7,57.1,151,骨折手术(2019),无,经常吸烟,偶尔饮酒
P00000009,患者9,女,2001-07-25,23,13948869856,13881058991,紧急联系人9,293726200503264363,地址9号,B,无,,,D0020,医生9,外科,2025-07-26,2026-03-09,15,5189.15,城镇职工医保,INS86163327,5,3,146,77,116,36.5,63.8,175,骨折手术(2019),家族有癌症史,经常吸烟,偶尔饮酒
P00000010,患者10,男,1982-04-01,32,13942608632,13824442351,紧急联系人10,430617197007262361,地址10号,A,青霉素,,,D0018,医生10,儿科,2025-07-08,2026-02-26,19,37768.12,城镇职工医保,,19,24,94,74,90,38.5,43.3,169,骨折手术(2019),家族有癌症史,已戒烟,不饮酒
P00000011,患者11,女,1954-05-01,32,13938448942,13819684727,紧急联系人11,354571199204021092,地址11号,A,无,,,D0016,医生11,内科,2026-01-12,2026-03-07,28,703.6,城镇职工医保,INS50788807,4,0,159,109,111,38.4,46.4,162,剖腹产(2020),无,经常吸烟,偶尔饮酒
P00000012,患者12,男,1960-02-25,22,13975241810,13887875921,紧急联系人12,504995199901146955,地址12号,AB,青霉素,,,D0003,医生12,内科,2025-03-31,,14,35798.71,商业保险,INS49518290,9,49,149,89,99,37.5,71.0,162,骨折手术(2019),,已戒烟,偶尔饮酒
P00000013,患者13,女,1996-10-04,66,13973317308,13897679546,紧急联系人13,594476197212121195,地址13号,O,青霉素,,,D0021,医生13,儿科,2025-08-13,2026-03-06,13,26775.9,城镇职工医保,INS70081823,13,27,155,100,60,38.2,83.0,172,阑尾切除术(2018),父亲有高血压,已戒烟,偶尔饮酒
P00000014,患者14,女,2003-08-24,82,13960475057,13883988399,紧急联系人14,432083195005087466,地址14号,B,,,,D0008,医生14,骨科,2025-07-14,2026-03-02,18,16097.56,自费,INS75020275,11,32,121,95,117,38.3,82.9,185,骨折手术(2019),,偶尔吸烟,经常饮酒
P00000015,患者15,女,2017-06-21,87,13914152943,13859051649,紧急联系人15,228751200310136930,地址15号,O,无,,,D0025,医生15,内科,2026-01-29,,30,13357.56,城镇职工医保,,10,4,144,107,88,36.6,58.5,163,阑尾切除术(2018),母亲有糖尿病,已戒烟,偶尔饮酒
P00000016,患者16,其他,1959-09-22,51,13975340773,13836071462,紧急联系人16,576864200011057779,地址16号,O,无,,,D0025,医生16,内科,2026-03-06,2026-03-18,24,17828.58,城镇职工医保,INS28979255,4,35,172,68,95,36.2,84.2,167,剖腹产(2020),,经常吸烟,经常饮酒
P00000017,患者17,男,1991-09-10,5,13954117415,13874252198,紧急联系人17,336263195510105087,地址17号,B,无,,,D0013,医生17,骨科,2025-10-26,2026-03-01,17,40911.56,城镇职工医保,INS60681290,17,6,162,98,89,38.0,56.4,168,无,,不吸烟,偶尔饮酒
P00000018,患者18,男,1996-05-03,76,13955846204,13845156180,紧急联系人18,337567197707282557,地址18号,O,无,,,D0046,医生18,骨科,2026-02-10,2026-02-28,14,15979.63,城镇职工医保,INS97329449,4,30,159,105,105,37.4,55.4,186,无,父亲有高血压,经常吸烟,不饮酒
P00000019,患者19,女,1948-03-05,46,13937551734,13836147926,紧急联系人19,454970199609136110,地址19号,AB,无,,,D0046,医生19,儿科,2025-05-28,,5,32064.77,自费,INS98791849,13,19,155,73,115,37.8,96.7,170,无,无,不吸烟,偶尔饮酒
P00000020,患者20,女,1946-10-10,12,13937406583,13888145549,紧急联系人20,579118199204233048,地址20号,O,无,,,D0042,医生20,骨科,2025-07-23,2026-03-18,1,10460.06,城乡居民医保,,0,8,148,65,114,37.5,54.7,170,剖腹产(2020),母亲有糖尿病,经常吸烟,经常饮酒
