student_id,student_name,gender,birth_date,class_id,class_name,teacher_id,chinese_score,math_score,english_score,physics_score,chemistry_score,history_score,geography_score,political_score,avg_score,total_score,rank,attendance_rate,homework_completion,parent_name,parent_phone,parent_email,scholarship,discipline_score
S00000001,学生1,男,2011-12-19,C003,班级4班,T0028,97,61,72,82,66,85,88,84,81.2,487,1,87.8,85.3,家长1,1310367292,parent1@email.com,一等奖学金,69
S00000002,学生2,男,2010-04-12,C019,班级2班,T0016,77,98,74,,87,91,63,94,82.8,497,2,97.2,88.3,家长2,1397406192,parent2@email.com,无,71
S00000003,学生3,女,2013-03-20,C007,班级4班,T0043,88,70,97,,,88,79,71,82.2,493,3,97.0,90.6,家长3,1368495376,parent3@email.com,无,97
S00000004,学生4,女,2010-09-12,C017,班级6班,T0019,96,97,69,,,73,88,63,81.0,486,4,91.3,90.4,家长4,1343561379,parent4@email.com,一等奖学金,65
S00000005,学生5,男,2012-11-17,C001,班级3班,T0013,85,52,82,68,,76,81,95,78.5,471,5,99.5,99.2,家长5,1360651073,parent5@email.com,一等奖学金,66
S00000006,学生6,男,2013-07-06,C006,班级3班,T0008,83,76,98,,78,95,69,78,83.2,499,6,90.3,83.5,家长6,1377079382,parent6@email.com,三等奖学金,81
S00000007,学生7,男,2010-05-23,C020,班级6班,T0050,83,58,70,95,83,70,89,79,74.8,449,7,94.4,84.9,家长7,1381893461,parent7@email.com,无,65
S00000008,学生8,男,2010-04-17,C001,班级3班,T0015,85,100,57,83,,82,67,74,77.5,465,8,88.6,86.6,家长8,1356287179,parent8@email.com,无,66
S00000009,学生9,女,2014-08-07,C011,班级5班,T0026,72,76,86,,77,66,85,89,79.0,474,9,90.3,91.8,家长9,1351728901,parent9@email.com,无,99
S00000010,学生10,女,2011-02-06,C005,班级1班,T0018,90,85,65,71,65,82,90,98,85.0,510,10,92.2,97.9,家长10,1386137844,parent10@email.com,无,77
S00000011,学生11,女,2014-03-23,C009,班级3班,T0049,98,59,69,99,,94,63,93,79.3,476,11,86.1,82.1,家长11,1321195635,parent11@email.com,无,78
S00000012,学生12,女,2010-07-31,C002,班级5班,T0038,88,81,59,64,82,100,81,99,84.7,508,12,96.8,80.6,家长12,1317684643,parent12@email.com,三等奖学金,62
S00000013,学生13,男,2011-09-19,C009,班级4班,T0029,80,56,64,74,64,96,89,80,77.5,465,13,85.8,81.6,家长13,1368220727,parent13@email.com,无,67
S00000014,学生14,男,2014-03-26,C019,班级6班,T0037,67,60,57,98,77,87,85,83,73.2,439,14,93.3,86.4,家长14,1379027257,parent14@email.com,无,77
S00000015,学生15,女,2011-10-21,C011,班级2班,T0035,90,66,64,,80,68,79,80,74.5,447,15,93.9,91.7,家长15,1383769812,parent15@email.com,无,97
S00000016,学生16,女,2010-08-13,C015,班级5班,T0038,97,67,56,,61,60,86,69,72.5,435,16,96.2,98.0,家长16,1355997916,parent16@email.com,一等奖学金,95
S00000017,学生17,女,2012-04-05,C008,班级3班,T0046,88,81,62,69,61,92,95,60,79.7,478,17,88.0,86.7,家长17,1396516296,parent17@email.com,无,97
S00000018,学生18,女,2011-02-14,C011,班级1班,T0025,97,93,65,65,,89,95,72,85.2,511,18,89.4,83.4,家长18,1367089833,parent18@email.com,一等奖学金,81
