case_id,citizen_name,citizen_id,phone,email,address,case_type,case_status,submit_time,complete_time,department,handler_id,handler_name,id_card_number,household_type,income_level,tax_id,social_security_number,housing_fund_number,business_license_number,company_name,company_address,annual_income,tax_amount,approval_score,satisfaction,remark,attachment_count,process_days,priority
CASE0000000001,市民1,121835198109186517,1368194188,citizen1@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,受理中,2025-08-04 14:54:58,2026-03-13 14:54:58,公安局,H00152,办理员1,,农村,低收入,T0935993387,SS0602381305,,,,,199034.17,,84.3,非常满意,备注信息0,10,9,普通
CASE0000000002,市民2,626642195906011702,1394525414,citizen2@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,审核中,2025-12-19 14:54:58,2025-10-30 14:54:58,工商局,H00034,办理员2,542751198506054247,城镇,中高收入,T0474146582,SS0780173403,,,公司96有限公司,,44255.71,53266.05,70.3,非常满意,,10,17,普通
CASE0000000003,市民3,435640196106201761,1383238399,citizen3@mail.gov.cn,XX市XX区XX街道XX号,公积金提取,审核中,2025-06-21 14:54:58,2026-01-29 14:54:58,人社局,H00023,办理员3,544877199607046675,农村,中高收入,T0723433076,SS0762493699,,BL0388975904,,,254369.19,40314.68,86.5,不满意,,2,2,普通
CASE0000000004,市民4,639444195007093732,1317198547,citizen4@mail.gov.cn,XX市XX区XX街道XX号,公积金提取,受理中,2025-07-28 14:54:58,2026-03-20 14:54:58,公积金中心,H00054,办理员4,428375198703055609,城镇,中等收入,,SS0592937338,HF0415324866,,公司25有限公司,公司地址3,268748.17,88111.05,74.6,满意,,5,17,加急
CASE0000000005,市民5,564147200206211182,1313138379,citizen5@mail.gov.cn,XX市XX区XX街道XX号,社保查询,受理中,2026-02-28 14:54:58,2026-02-19 14:54:58,税务局,H00137,办理员5,,城镇,高收入,,SS0319802213,,,,,86850.86,41854.8,91.3,不满意,备注信息4,6,28,普通
CASE0000000006,市民6,486811196901164177,1314263213,citizen6@mail.gov.cn,XX市XX区XX街道XX号,营业执照办理,审核中,2026-01-04 14:54:58,2025-12-14 14:54:58,民政局,H00181,办理员6,,农村,中等收入,,SS0274533442,HF0602010181,,,公司地址5,,57646.79,96.6,一般,备注信息5,9,13,普通
CASE0000000007,市民7,483482195609033686,1387025558,citizen7@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,已驳回,2025-10-17 14:54:58,2025-12-25 14:54:58,民政局,H00020,办理员7,618595197705174101,农村,中等收入,,SS0306393934,HF0939539393,,公司39有限公司,公司地址6,182745.55,,75.2,满意,备注信息6,2,7,VIP
CASE0000000008,市民8,512796196104199630,1343553475,citizen8@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,已完成,2025-05-25 14:54:58,2025-10-13 14:54:58,工商局,H00166,办理员8,,农村,中等收入,T0548913166,SS0960639436,HF0347598739,,公司23有限公司,公司地址7,183438.36,18631.53,72.6,非常满意,,4,8,普通
CASE0000000009,市民9,531858196504048625,1380062940,citizen9@mail.gov.cn,XX市XX区XX街道XX号,营业执照办理,审核中,2025-07-04 14:54:58,2026-03-21 14:54:58,公积金中心,H00191,办理员9,250370195905284257,农村,中等收入,T0372615787,SS0106703915,HF0987259874,BL0659392182,,公司地址8,,32335.78,70.5,满意,备注信息8,8,1,普通
CASE0000000010,市民10,503006197512243849,1393708636,citizen10@mail.gov.cn,XX市XX区XX街道XX号,公积金提取,已完成,2025-05-17 14:54:58,,人社局,H00064,办理员10,,城镇,中高收入,,SS0275537008,,BL0115472325,公司76有限公司,,,86927.66,65.1,非常满意,备注信息9,1,14,普通
