order_id,customer_id,customer_name,customer_phone,product_id,product_name,category,quantity,unit_price,total_amount,order_status,payment_method,shipping_address,order_time,shipping_time,coupon_discount,points_earned
ORD0000000001,C000022,客户1,1594397473,P06266,商品1,食品,4,329.61,,已发货,支付宝,收货地址1,2025-11-02 10:54:58,2025-12-31 14:54:58,42.27,216
ORD0000000002,C000463,客户2,1518452352,P04888,商品2,电子产品,3,976.14,,已支付,银行卡,收货地址2,2026-01-02 21:54:58,2026-02-11 14:54:58,10.75,230
ORD0000000003,C000662,客户3,1561826342,P04918,商品3,美妆,10,341.76,,已发货,支付宝,收货地址3,2025-10-15 17:54:58,2026-03-21 14:54:58,18.4,334
ORD0000000004,C000546,客户4,1559582198,P01353,商品4,服装,7,459.15,,已发货,支付宝,收货地址4,2025-12-03 21:54:58,2026-01-15 14:54:58,47.45,482
ORD0000000005,C000425,客户5,1568315793,P02649,商品5,图书,10,763.35,,已取消,支付宝,收货地址5,2025-11-29 13:54:58,2025-12-29 14:54:58,0,84
ORD0000000006,C000710,客户6,1592308985,P06414,商品6,电子产品,9,629.98,,已取消,支付宝,收货地址6,2025-11-22 09:54:58,2026-03-21 14:54:58,0,132
ORD0000000007,C000896,客户7,1553563334,P06470,商品7,服装,1,983.76,,已发货,微信支付,收货地址7,2026-03-13 02:54:58,,0,186
ORD0000000008,C000509,客户8,1543363941,P04556,商品8,家居,8,749.56,,已发货,银行卡,收货地址8,2025-10-09 20:54:58,2026-02-15 14:54:58,14.46,428
ORD0000000009,C000017,客户9,1561826687,P03464,商品9,图书,10,718.04,,待支付,微信支付,收货地址9,2026-03-25 19:54:58,2026-02-16 14:54:58,29.89,458
ORD0000000010,C000625,客户10,1594344474,P03871,商品10,服装,2,247.38,,已发货,货到付款,收货地址10,2025-11-08 00:54:58,2026-02-01 14:54:58,0,205
ORD0000000011,C000575,客户11,1575267397,P01506,商品11,图书,10,343.3,,已完成,微信支付,收货地址11,2025-10-06 13:54:58,2026-03-02 14:54:58,15.33,439
ORD0000000012,C000237,客户12,1554963774,P05048,商品12,家居,2,204.71,,已完成,支付宝,收货地址12,2025-10-18 21:54:58,2026-03-03 14:54:58,0,387
ORD0000000013,C000856,客户13,1598577577,P06795,商品13,家居,2,785.76,,待支付,微信支付,收货地址13,2026-03-01 01:54:58,2026-03-08 14:54:58,0,492
ORD0000000014,C000764,客户14,1546821045,P07394,商品14,家居,6,298.06,,已完成,货到付款,收货地址14,2025-11-26 16:54:58,2026-01-08 14:54:58,30.08,207
ORD0000000015,C000281,客户15,1534096407,P02650,商品15,电子产品,8,869.49,,已发货,货到付款,收货地址15,2025-11-04 16:54:58,2026-02-08 14:54:58,4.63,371
ORD0000000016,C000538,客户16,1545177588,P04388,商品16,图书,9,647.23,,已支付,微信支付,收货地址16,2025-12-11 04:54:58,,21.92,257
ORD0000000017,C000010,客户17,1586451562,P01851,商品17,食品,6,26.37,,已发货,银行卡,收货地址17,2026-02-06 04:54:58,2026-02-18 14:54:58,0,183
ORD0000000018,C000009,客户18,1534518544,P07034,商品18,食品,7,152.99,,已完成,货到付款,收货地址18,2026-03-07 19:54:58,,0,499
ORD0000000019,C000715,客户19,1542192442,P06824,商品19,美妆,4,56.88,,已发货,货到付款,收货地址19,2026-01-19 01:54:58,2026-01-09 14:54:58,36.15,391
ORD0000000020,C000036,客户20,1544045558,P01033,商品20,家居,7,374.06,,已发货,银行卡,收货地址20,2025-11-11 20:54:58,2025-12-27 14:54:58,0,380
ORD0000000021,C000653,客户21,1540393051,P01540,商品21,图书,2,51.04,,已支付,银行卡,收货地址21,2026-03-04 14:54:58,2026-02-13 14:54:58,0,423
ORD0000000022,C000747,客户22,1593280027,P05307,商品22,图书,4,484.3,,已发货,银行卡,收货地址22,2026-03-06 07:54:58,2026-01-25 14:54:58,0,17
ORD0000000023,C000404,客户23,1561385831,P02804,商品23,图书,9,973.21,,退款中,支付宝,收货地址23,2025-12-17 00:54:58,,15.06,210
ORD0000000024,C000044,客户24,1549775386,P05436,商品24,家居,5,678.98,,退款中,货到付款,收货地址24,2025-10-21 08:54:58,2026-02-04 14:54:58,0,266
ORD0000000025,C000375,客户25,1538978983,P08365,商品25,电子产品,1,622.09,,待支付,支付宝,收货地址25,2025-11-05 23:54:58,2026-01-13 14:54:58,24.6,461
ORD0000000026,C000034,客户26,1519348457,P01182,商品26,食品,5,539.97,,待支付,货到付款,收货地址26,2025-10-10 05:54:58,2026-03-09 14:54:58,0,46
ORD0000000027,C000367,客户27,1559018924,P05967,商品27,服装,7,871.66,,已支付,银行卡,收货地址27,2026-01-27 07:54:58,2026-01-06 14:54:58,14.02,81
ORD0000000028,C000938,客户28,1522792976,P05570,商品28,图书,7,642.2,,已支付,支付宝,收货地址28,2025-10-04 11:54:58,2026-01-22 14:54:58,0,127
ORD0000000029,C000360,客户29,1512873629,P07434,商品29,食品,9,324.58,,已发货,货到付款,收货地址29,2025-10-15 11:54:58,2025-12-28 14:54:58,12.43,484
ORD0000000030,C000049,客户30,1511145555,P04587,商品30,食品,8,795.38,,已发货,支付宝,收货地址30,2026-01-25 20:54:58,2026-02-19 14:54:58,0,110
