user_id,username,real_name,id_card,phone,email,bank_card,account_balance,credit_score,loan_amount,monthly_income,department,employee_level,hire_date,is_active,risk_level,last_login_ip,password_hash,transaction_count,avg_transaction_amount
U000001,user_1,张三,520486198706121802,13844395934,user1@example.com,469171751348127528,28595.89,309,43195.05,18532.21,财,3,2024-10-08,否,低,192.168.161.203,*,432,508.58
U000002,user_2,李四,483111197205032682,13887952127,user2@example.com,431673864161504255,73044.92,431,,18639.64,务,2,2025-12-18,,风,192.168.229.37,*,996,2673.71
U000003,user_3,王五,184201200203174751,13857194181,user3@example.com,406656119524723200,3225.35,333,298565.66,33126.73,部,3,2020-09-13,,险,192.168.133.195,*,939,515.95
U000004,user_4,赵六,421196199802109569,13855269517,user4@example.com,434535877479699640,5441.13,640,,14873.01,,2,2018-01-30,,,192.168.246.118,*,293,4539.25
U000005,user_5,钱七,588633198504071344,13884998339,user5@example.com,444398725574617784,14963.51,632,,6025.62,,6,2022-09-05,,,192.168.181.24,*,299,1163.48
U000006,user_6,孙八,231797198108041742,13820069503,user6@example.com,459779369131962833,93081.41,533,294529.52,19607.71,,5,2024-01-27,,,192.168.8.166,*,200,3053.68
U000007,user_7,周九,613172197811121896,13831573879,user7@example.com,420615816453199916,13014.02,665,140402.76,4398.28,,9,2019-07-17,,,192.168.78.37,*,846,1150.37
U000008,user_8,吴十,268356196410177867,13812075142,user8@example.com,454009970571065648,46282.01,717,,19965.37,,6,2025-06-18,,,192.168.112.121,*,473,380.31
U000009,user_9,郑十一,472418197212131616,13857362469,user9@example.com,425835745597715715,29721.07,470,461610.04,30698.39,,8,2022-01-29,,,192.168.233.219,*,395,2139.89
U000010,user_10,王十二,309904199308194839,13850977286,user10@example.com,468439524858234287,2523.87,820,74251.75,16948.38,,3,2021-04-25,,,192.168.83.210,*,896,2240.39
U000011,user_11,刘十三,390432198709235409,13811326560,user11@example.com,452024964570839955,69379.52,463,449978.41,28868.69,,10,2023-10-20,,,192.168.9.23,*,207,889.69
U000012,user_12,陈十四,314577197212103521,13822324910,user12@example.com,410212474698201894,82802.89,419,194296.2,36036.48,,7,2022-02-09,,,192.168.82.251,*,939,4435.07
U000013,user_13,杨十五,439683197410174150,13863424834,user13@example.com,496507816407341416,60604.15,602,,36456.2,,5,2016-09-12,,,192.168.110.35,*,634,3048.18
U000014,user_14,黄十六,399912199709069380,13893262276,user14@example.com,436225446830302800,75107.72,418,,23183.21,,6,2018-07-01,,,192.168.228.205,*,204,2618.59
U000015,user_15,林十七,482454196406218830,13856931130,user15@example.com,485510102149314125,66913.12,754,193333.74,29518.18,,4,2021-04-25,,,192.168.55.161,*,293,122.69
U000016,user_16,何十八,537003197712094237,13859187092,user16@example.com,497858161729953725,17144.54,576,,26923.57,,1,2017-07-05,,,192.168.163.185,*,763,731.97
U000017,user_17,高十九,370762196508072664,13832099235,user17@example.com,420642827592739994,72518.67,471,,8573.17,,2,2021-06-23,,,192.168.239.185,*,346,1880.74
U000018,user_18,马二十,403320200002104777,13892806528,user18@example.com,481518369980971087,41217.22,544,,37947.34,,8,2024-10-01,,,192.168.224.109,*,722,2935.92
U000019,user_19,朱二十一,369216198802259244,13814718877,user19@example.com,405188278908017187,1867.03,630,451602.88,26182.19,,9,2022-08-28,,,192.168.54.129,*,835,3800.16
U000020,user_20,胡二十二,566893195406028930,13887627601,user20@example.com,478810412135687753,63665.86,671,338147.62,48034.73,,10,2023-09-16,,,192.168.31.112,*,534,1855.4
U000021,user_21,郭二十三,196846195304103982,13879728175,user21@example.com,,88269.1,378,400601.62,25046.29,,1,2020-05-09,,,192.168.190.197,*,87,2753.0
U000022,user_22,何二十四,291031197804172217,13840281051,user22@example.com,,40284.93,704,129408.92,19267.27,,7,2018-09-23,,,192.168.197.222,*,612,535.84
U000023,user_23,罗二十五,497338195912202212,13864373669,user23@example.com,,55530.13,729,,49752.58,,9,2025-07-17,,,192.168.88.110,*,897,3125.69
U000024,user_24,,,13874734468,user24@example.com,,68310.15,746,,43313.26,,3,2017-10-18,,,192.168.137.215,*,117,2561.19
U000025,user_25,,,13888665909,user25@example.com,,92733.98,504,,28192.66,,4,2024-05-05,,,192.168.229.168,*,723,4932.1
