loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1704,5, Graduate, No,5400000,19700000,20,423,6500000,10000000,15700000,7300000, Rejected
1174,2, Graduate, No,5900000,14000000,8,599,4700000,9500000,17800000,6700000, Approved
309,3, Graduate, No,9600000,19900000,14,452,4200000,16200000,28500000,6600000, Rejected
1323,2, Graduate, No,6200000,23400000,8,605,10000000,10800000,21800000,9200000, Approved
3272,3, Not Graduate, Yes,5800000,14100000,12,738,11700000,4400000,15400000,8400000, Approved
3540,4, Graduate, Yes,4700000,12500000,8,678,13700000,200000,9800000,7000000, Approved
1523,4, Graduate, No,3400000,13500000,12,705,10000000,1100000,8300000,4900000, Approved
3400,5, Not Graduate, Yes,5100000,13700000,14,527,12100000,8900000,19400000,4700000, Rejected
1403,3, Graduate, Yes,3300000,8500000,12,586,7500000,5100000,7800000,3900000, Approved
1830,1, Not Graduate, Yes,3000000,6000000,16,518,3800000,1700000,11600000,3900000, Rejected
297,5, Not Graduate, Yes,8600000,28900000,8,516,9900000,1800000,30200000,6800000, Rejected
2701,5, Not Graduate, Yes,2900000,6300000,6,719,7900000,1600000,8000000,1600000, Approved
472,4, Graduate, No,3700000,11400000,12,728,4200000,5800000,7300000,2300000, Approved
3056,3, Not Graduate, Yes,300000,500000,6,386,800000,200000,1200000,100000, Rejected
1124,0, Not Graduate, No,9100000,18300000,14,458,6100000,9200000,34100000,10000000, Rejected
